Time,Kinetic_E,Potential_E,Total_E
5.1300,5376524.2224,-1296514.5275,4080009.6949
5.1400,5324567.1471,-1321990.5921,4002576.5551
5.1500,5293075.5950,-1245119.6544,4047955.9405
5.1600,5292830.9494,-1385333.4445,3907497.5050
5.1700,5312020.8074,-1338979.8263,3973040.9811
5.1800,5334047.4759,-1277343.6789,4056703.7969
5.1900,5393495.1870,-1340118.0569,4053377.1300
5.2000,5485116.8627,-1385100.0234,4100016.8393
5.2100,5530733.4230,-1335050.7915,4195682.6316
5.2200,5536456.0422,-1316540.3699,4219915.6723
5.2300,5506835.3564,-1295096.6013,4211738.7551
5.2400,5476561.7740,-1420786.8506,4055774.9234
5.2500,5435641.6866,-1340967.3848,4094674.3017
5.2600,5395858.9836,-1278550.3054,4117308.6782
5.2700,5366076.6693,-1297704.3674,4068372.3018
5.2800,5328387.8093,-1252931.8896,4075455.9197
5.2900,5311963.2794,-1378957.9742,3933005.3052
5.3000,5275289.1128,-1270363.1467,4004925.9661
5.3100,5260669.3321,-1432656.2591,3828013.0730
5.3200,5252785.9867,-1327711.0029,3925074.9838
5.3300,5270970.9208,-1295812.5002,3975158.4206
5.3400,5268289.3780,-1165154.8601,4103134.5179
5.3500,5274823.0782,-1314408.7826,3960414.2956
5.3600,5276280.7343,-1306574.4050,3969706.3293
5.3700,5294640.0907,-1357023.4023,3937616.6885
5.3800,5331347.6544,-1328915.0249,4002432.6295
5.3900,5378261.0100,-1313593.8959,4064667.1140
5.4000,5360647.7254,-1239266.4343,4121381.2911
5.4100,5324280.1506,-1231478.8326,4092801.3180
5.4200,5299224.9440,-1335567.0732,3963657.8708
5.4300,5280148.3409,-1254259.7218,4025888.6191
5.4400,5297123.4367,-1286825.1988,4010298.2379
5.4500,5322238.9807,-1330071.1483,3992167.8324
5.4600,5352593.9713,-1304183.2203,4048410.7509
5.4700,5351444.0721,-1328639.8560,4022804.2161
5.4800,5351054.9830,-1365357.6302,3985697.3528
5.4900,5349942.9437,-1369869.0961,3980073.8476
5.5000,5415659.1227,-1251411.3473,4164247.7754
5.5100,5463842.2864,-1408876.8996,4054965.3868
5.5200,5445376.6090,-1353376.5034,4092000.1057
5.5300,5374104.9878,-1363158.8820,4010946.1058
5.5400,5336465.4221,-1285760.6286,4050704.7935
5.5500,5340428.9625,-1333536.1679,4006892.7946
5.5600,5318984.2108,-1300583.8740,4018400.3368
5.5700,5314758.9570,-1344838.0031,3969920.9539
5.5800,5301142.9068,-1296470.1918,4004672.7149
5.5900,5305613.9925,-1342093.3326,3963520.6599
5.6000,5291104.3014,-1356273.3726,3934830.9288
5.6100,5209279.3007,-1392269.5468,3817009.7540
5.6200,5142604.2494,-1267785.5254,3874818.7240
5.6300,5123449.1520,-1337157.5860,3786291.5660
5.6400,5122496.6703,-1253074.7474,3869421.9229
5.6500,5143194.6290,-1190791.9352,3952402.6938
5.6600,5189008.9446,-1377746.8355,3811262.1092
5.6700,5248351.9637,-1265856.4709,3982495.4928
5.6800,5296535.7650,-1283899.7735,4012635.9915
5.6900,5320557.5654,-1274962.2653,4045595.3000
5.7000,5307310.2455,-1442556.2317,3864754.0138
5.7100,5256177.1777,-1298772.6140,3957404.5638
5.7200,5220545.4998,-1446955.0852,3773590.4146
5.7300,5252490.8014,-1301296.8242,3951193.9773
5.7400,5244639.2240,-1208860.5425,4035778.6815
5.7500,5185827.5180,-1277722.0772,3908105.4409
5.7600,5162231.8147,-1273797.9774,3888433.8373
5.7700,5140261.6727,-1226017.5507,3914244.1220
5.7800,5117635.5059,-1270881.1594,3846754.3466
5.7900,5092018.8946,-1249879.2233,3842139.6713
5.8000,5064665.8065,-1314006.6592,3750659.1473
5.8100,5112621.8638,-1128837.7295,3983784.1343
5.8200,5119092.1160,-1445515.7472,3673576.3688
5.8300,5145692.4486,-1427153.9489,3718538.4997
5.8400,5151131.1456,-1326358.1100,3824773.0356
5.8500,5132801.4517,-1269942.2179,3862859.2337
5.8600,5081222.9371,-1337092.7325,3744130.2046
5.8700,5067372.3838,-1267210.8145,3800161.5693
5.8800,5035744.2312,-1305962.0242,3729782.2070
5.8900,5008762.9856,-1287528.4421,3721234.5435
5.9000,5020049.9769,-1259220.2509,3760829.7260
5.9100,5060989.1047,-1220198.4589,3840790.6458
5.9200,5074656.9352,-1318711.2751,3755945.6601
5.9300,5058544.0453,-1295164.4597,3763379.5856
5.9400,5067705.1930,-1299679.9483,3768025.2448
5.9500,5083350.0985,-1415736.6265,3667613.4720
5.9600,5083965.6213,-1344586.2595,3739379.3618
5.9700,5126333.7887,-1277896.4637,3848437.3250
5.9800,5163260.7459,-1308960.0804,3854300.6656
