Time,Angular_Momentum
2.9400,932657.5955
2.9500,932635.1443
2.9600,932689.5932
2.9700,932599.6891
2.9800,932611.2913
2.9900,932671.9324
3.0000,932597.5808
3.0100,932697.0067
3.0200,932610.6944
3.0300,932672.1262
3.0400,932542.7664
3.0500,932666.6837
3.0600,932633.0771
3.0700,932675.7378
3.0800,932671.3499
3.0900,932615.8070
3.1000,932674.9409
3.1100,932527.2403
3.1200,932693.8559
3.1300,932612.1883
3.1400,932673.9037
3.1500,932610.0018
3.1600,932690.9644
3.1700,932523.1372
3.1800,932698.2325
3.1900,932682.6911
3.2000,932612.7178
3.2100,932643.6911
3.2200,932631.4085
3.2300,932662.8851
3.2400,932572.7207
3.2500,932671.6538
3.2600,932604.9596
3.2700,932671.1339
3.2800,932628.7735
3.2900,932681.3068
3.3000,932601.2846
3.3100,932613.7212
3.3200,932678.9949
3.3300,932596.9402
3.3400,932660.0960
3.3500,932638.6621
3.3600,932677.8994
3.3700,932560.6767
3.3800,932644.9050
3.3900,932621.2317
3.4000,932673.8596
3.4100,932639.3026
3.4200,932657.1999
3.4300,932687.6857
3.4400,932541.1612
3.4500,932672.8215
3.4600,932622.6420
3.4700,932684.3676
3.4800,932597.7504
3.4900,932677.9995
3.5000,932619.3200
3.5100,932614.1007
3.5200,932587.4901
3.5300,932682.9750
3.5400,932623.4767
3.5500,932669.6902
3.5600,932610.2853
3.5700,932629.6240
3.5800,932658.1336
3.5900,932618.3925
3.6000,932678.5264
3.6100,932620.1027
3.6200,932678.0634
3.6300,932586.1649
3.6400,932632.2535
3.6500,932651.0501
3.6600,932632.6737
3.6700,932614.6154
3.6800,932673.7565
3.6900,932617.3206
3.7000,932680.0685
3.7100,932622.4512
3.7200,932599.0601
3.7300,932698.3871
3.7400,932600.3015
3.7500,932676.8739
3.7600,932609.7702
3.7700,932608.2610
3.7800,932609.6642
3.7900,932661.4128
3.8000,932633.2914
3.8100,932676.6650
3.8200,932630.8818
3.8300,932640.8733
3.8400,932557.7002
3.8500,932685.2787
3.8600,932666.3716
3.8700,932627.7321
3.8800,932675.9334
3.8900,932626.4871
3.9000,932643.7542
3.9100,932570.7477
3.9200,932651.8487
3.9300,932637.9764
3.9400,932661.4315
3.9500,932641.9399
3.9600,932669.9841
3.9700,932554.5234
3.9800,932671.9933
3.9900,932602.7781
4.0000,932678.0422
4.0100,932672.5021
4.0200,932608.5403
4.0300,932673.2101
4.0400,932556.5992
4.0500,932666.8600
4.0600,932622.7316
4.0700,932676.2658
4.0800,932631.2321
4.0900,932683.9291
4.1000,932581.1347
4.1100,932613.6341
4.1200,932622.9726
4.1300,932665.2577
4.1400,932612.6978
4.1500,932684.0668
4.1600,932608.8607
4.1700,932687.2438
4.1800,932539.9929
4.1900,932669.5886
4.2000,932680.1742
4.2100,932624.9523
4.2200,932685.0059
4.2300,932593.8342
4.2400,932628.3695
4.2500,932614.1738
4.2600,932658.0576
4.2700,932630.0690
4.2800,932651.3999
4.2900,932638.4974
4.3000,932683.3891
4.3100,932555.1901
4.3200,932668.1646
4.3300,932587.3773
4.3400,932706.5933
4.3500,932598.2506
4.3600,932666.3586
4.3700,932627.0127
4.3800,932626.7093
4.3900,932668.4770
4.4000,932599.2102
4.4100,932684.2342
4.4200,932592.2001
4.4300,932702.7422
4.4400,932612.0696
4.4500,932601.3049
4.4600,932619.8670
4.4700,932679.9071
4.4800,932622.2547
4.4900,932662.3655
4.5000,932638.0145
4.5100,932645.3051
4.5200,932566.4732
4.5300,932686.4490
4.5400,932611.9797
4.5500,932668.7911
4.5600,932621.5128
4.5700,932674.3781
4.5800,932555.1093
4.5900,932680.9106
4.6000,932607.5898
4.6100,932674.5841
4.6200,932666.1323
4.6300,932628.2319
4.6400,932643.0726
4.6500,932585.5383
4.6600,932668.7334
4.6700,932606.7568
4.6800,932663.7435
4.6900,932622.3366
4.7000,932689.6050
4.7100,932610.0337
4.7200,932614.6665
4.7300,932612.4382
4.7400,932674.2630
4.7500,932613.9533
4.7600,932680.9740
4.7700,932608.3065
4.7800,932680.6154
4.7900,932562.6808
4.8000,932667.0368
4.8100,932631.0698
4.8200,932661.5756
4.8300,932600.4762
4.8400,932698.4559
4.8500,932574.6255
4.8600,932649.7733
4.8700,932615.6249
4.8800,932665.0272
4.8900,932658.0782
4.9000,932662.7203
4.9100,932667.2565
4.9200,932535.7245
4.9300,932694.2609
4.9400,932609.8644
4.9500,932664.0534
4.9600,932617.9285
4.9700,932686.4600
4.9800,932623.8959
4.9900,932603.9470
5.0000,932590.0082
5.0100,932705.4533
5.0200,932594.5255
5.0300,932661.5170
5.0400,932644.0144
5.0500,932672.4776
5.0600,932556.3952
5.0700,932663.5289
5.0800,932623.6844
5.0900,932672.0728
5.1000,932614.9659
5.1100,932682.3564
5.1200,932616.9505
5.1300,932606.6019
5.1400,932604.8673
5.1500,932677.6281
5.1600,932638.8231
5.1700,932649.0865
5.1800,932614.6119
5.1900,932709.8686
5.2000,932540.5439
5.2100,932669.6435
5.2200,932588.8013
5.2300,932717.3475
5.2400,932593.3914
5.2500,932685.7791
5.2600,932624.7736
5.2700,932618.2516
5.2800,932656.7673
5.2900,932595.5131
5.3000,932720.0684
5.3100,932594.3611
5.3200,932688.3828
5.3300,932599.5411
5.3400,932626.9805
5.3500,932603.9849
5.3600,932651.7594
5.3700,932623.6723
5.3800,932678.5907
5.3900,932625.7651
5.4000,932657.6900
5.4100,932583.0693
5.4200,932672.3177
5.4300,932594.3290
5.4400,932680.2149
5.4500,932653.8187
5.4600,932658.9704
5.4700,932592.5825
5.4800,932633.7184
5.4900,932595.5846
5.5000,932692.3999
5.5100,932616.6310
5.5200,932680.6646
5.5300,932609.8312
5.5400,932683.5049
5.5500,932555.9810
5.5600,932652.5911
5.5700,932648.8933
5.5800,932683.5498
5.5900,932589.9364
5.6000,932674.1233
5.6100,932636.2688
5.6200,932580.9655
5.6300,932637.5349
5.6400,932688.7628
5.6500,932594.8805
5.6600,932690.3063
5.6700,932604.5814
5.6800,932669.3838
5.6900,932568.3304
5.7000,932667.4882
5.7100,932640.5911
5.7200,932662.4881
5.7300,932620.3800
5.7400,932679.4141
5.7500,932589.4456
5.7600,932628.8445
5.7700,932643.8587
5.7800,932650.0064
5.7900,932619.5678
5.8000,932656.4317
5.8100,932626.9486
5.8200,932623.8531
5.8300,932582.2809
5.8400,932707.8209
5.8500,932580.7549
5.8600,932690.6917
5.8700,932647.9773
5.8800,932658.0238
5.8900,932523.4339
5.9000,932701.8155
5.9100,932620.5065
5.9200,932677.8652
5.9300,932615.1682
5.9400,932673.4145
5.9500,932627.5389
5.9600,932608.1904
5.9700,932618.4648
5.9800,932686.1889
